Sl.No,Country,Per Capita R&D in US $,Per Capita GDP in US $,R&D Exp. as % GDP,,Note on R&D Exp. as % GDP,R&D Exp. In Billion Current US $,Note on R&D Exp. In Billion Current US $
1,Argentina,45.9,7679,0.6,NA,NA,1.8,NA
2,Australia,1004.9,42038,2.41,NA,#,22.1,#
3,Austria,1298.6,47636,2.71,NA,NA,10.4,NA
4,Brazil,97.4,8219,1.19,NA,NA,18.9,NA
5,Canada,765.2,39296,1.95,NA,NA,26,NA
6,China,63.8,3746,1.7,NA,NA,85,NA
7,Czech Republic,290.4,19027,1.47,NA,NA,2.9,NA
8,Denmark,1636,51599,3.16,NA,NA,9.8,NA
9,Finland,1885.1,47598,3.94,NA,NA,9.4,NA
10,France,944.3,42054,2.23,NA,NA,59.5,NA
11,Germany,1135.1,40610,2.82,NA,NA,93.1,NA
12,Hungary,147.8,12896,1.17,NA,NA,1.5,NA
13,India,9.5,1170,0.87,NA,NA,11.2,NA
14,Israel,1250.9,27913,4.27,NA,NA,8.8,NA
15,Italy,447.7,35213,1.26,NA,NA,26.7,NA
16,Japan,1320.7,39602,3.36,NA,NA,169.1,NA
17,Korea Republic,606.2,16990,3.36,NA,NA,29.7,NA
18,Mexico,36,8176,0.39,NA,NA,3.9,NA
19,Netherlands,850.3,46596,1.82,NA,NA,14.5,NA
20,Norway,1331.8,76353,1.78,NA,NA,6.7,NA
21,Pakistan,4.3,953,0.46,NA,NA,0.7,NA
22,Russian Fed.,107.8,8675,1.25,NA,NA,15.3,NA
23,Singapore,833.5,36446,2.43,NA,NA,4.2,NA
24,South Africa,50.5,5824,0.93,NA,NA,2.5,NA
25,Spain,440.3,31745,1.39,NA,NA,20.3,NA
26,Sri Lanka,2.2,2099,0.11,NA,#,0.04,#
27,Sweden,1622.7,45119,3.6,NA,NA,14.6,NA
28,United Kingdom,651.8,35073,1.87,NA,NA,40.4,NA
29,United States,1319.5,45990,2.79,NA,NA,405.1,NA
